isbn,title,author,description,price,stockQuantity,category,imageUrl
"9781449373320","Designing Data-Intensive Applications","Martin Kleppmann","Designing Data-Intensive Applications",48.99,60,Databases,"/images/default1.png"
"9781942788294","The Phoenix Project","Gene Kim, Kevin Behr, George Spafford","A Novel About IT, DevOps, and Helping Your Business Win",39.95,30,DevOps,"/images/default2.png"
"9781801072101","Continuous Delivery with Docker and Jenkins","Alan Richardson","Building Continuous Delivery pipelines using Jenkins, Docker, and Kubernetes",45.50,40,DevOps,"/images/default3.png"
"9781449369415","Introduction to Machine Learning with Python","Andreas C. Müller, Sarah Guido","An In-Depth Guide for Practical Data Scientists",62.99,35,"AI/ML","/images/default.png"
"9781492032649","Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow","Aurélien Géron","Building Intelligent Systems with Python",57.99,50,"AI/ML","/images/default1.png"
"9780596517748","JavaScript: The Good Parts","Douglas Crockford","The Good Parts",44.99,65,"Web Development","/images/default2.png"
"9781593279509","Eloquent JavaScript, 3rd Edition","Marijn Haverbeke","A Modern Introduction to Programming",40.99,70,"Web Development","/images/default3.png"
"9781491952023","JavaScript: The Definitive Guide","David Flanagan","Mastering the World's Most-Used Programming Language",53.50,50,"Web Development","/images/default.png"
"9781720271895","The Road to React","Robin Wieruch","Modern Web Development with React",49.99,45,"Web Development","/images/default1.png"
"9781492041496","You Don't Know JS Yet: Get Started","Kyle Simpson","You Don't Know JS Yet: Get Started",46.80,60,"Web Development","/images/default2.png"
"9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","Covers HTML5, CSS3, and JavaScript",42.99,55,"Web Development","/images/default3.png"
"9781492051907","Learning React, 2nd Edition","Alex Banks, Eve Porcello","Build interactive UIs with React, Redux, MobX, Node, and GraphQL",47.95,40,"Web Development","/images/default.png"
"9781095322410","Node.js Design Patterns","Basarat Ali Syed","Learn Node.js by building real-world applications",38.50,65,"Web Development","/images/default1.png"
"9781491962411","CSS: The Missing Manual","David Sawyer McFarland","The Missing Manual",50.00,30,"Web Development","/images/default2.png"
"9780991344611","ng-book: The Complete Book on Angular","Nate Murray, Felipe Coury, Ari Lerner, Carlos Taborda","Build applications with Angular and TypeScript",44.99,50,"Web Development","/images/default3.png"
"9781934356555","SQL Antipatterns","Bill Karwin","SQL Antipatterns: Avoiding the Pitfalls of Database Programming",55.99,40,Databases,"/images/default.png"
"9780201896831","The Art of Computer Programming, Volume 1","Donald E. Knuth","The Art of Computer Programming, Volume 1: Fundamental Algorithms",60.50,35,"Computer Science","/images/default1.png"
"9781617292231","Grokking Algorithms","Aditya Y. Bhargava","An illustrated guide for programmers and other curious people",49.95,60,"Computer Science","/images/default2.png"
"9780262033848","Introduction to Algorithms","Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein","Introduction to Algorithms, 3rd Edition",68.00,25,"Computer Science","/images/default3.png"
"9781680507225","A Common-Sense Guide to Data Structures and Algorithms","Jay Wengrow","A Common-Sense Guide to Data Structures and Algorithms",41.95,55,"Computer Science","/images/default.png"
"9780321704542","NoSQL Distilled","Pramod J. Sadalage, Martin Fowler","The Definitive Guide, 2nd Edition",52.99,48,Databases,"/images/default1.png"
"9781491936160","Kafka: The Definitive Guide","Neha Narkhede, Gwen Shapira, Todd Palino","Building Reliable Systems with Kafka",47.80,42,Messaging,"/images/default2.png"
"9781492057619","Learning SQL","Alan Beaulieu","Learning SQL, 3rd Edition",43.99,66,Databases,"/images/default3.png"
"9780262510875","Structure and Interpretation of Computer Programs (SICP)","Harold Abelson, Gerald Jay Sussman, Julie Sussman","Structure and Interpretation of Computer Programs",58.00,33,"Computer Science","/images/default.png"
"9781449337538","Redis in Action","Josiah L. Carlson","The Definitive Guide to Understanding the Redis Data Structure Server",37.50,77,Databases,"/images/default1.png"
